unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
12419052,JE296203,2021-01-01 12:00:00.000000 UTC,025XX S CHRISTIANA AVE,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,true,true,1024,10,12,30,02,1154438.0,1886886.0,2021,2022-10-15 04:45:40.000000 UTC,41.845436278,-87.70872175,"(41.845436278, -87.70872175)"
12395383,JE267070,2021-06-15 03:55:00.000000 UTC,033XX W OGDEN AVE,2091,NARCOTICS,FORFEIT PROPERTY,COMMERCIAL / BUSINESS OFFICE,true,false,1024,10,24,29,18,1154489.0,1891024.0,2021,2021-06-22 04:58:14.000000 UTC,41.856790413,-87.708424071,"(41.856790413, -87.708424071)"
12478497,JE368701,2021-09-10 03:25:00.000000 UTC,043XX W 26TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,OTHER (SPECIFY),true,false,1031,10,22,30,24,1148006.0,1886369.0,2021,2021-09-17 04:48:01.000000 UTC,41.844143505,-87.732340007,"(41.844143505, -87.732340007)"
12454611,JE339754,2021-08-16 05:59:00.000000 UTC,003XX W 119TH ST,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,true,false,522,5,34,53,18,1176290.0,1826017.0,2021,2021-08-23 05:04:44.000000 UTC,41.677940618,-87.630353142,"(41.677940618, -87.630353142)"
12287706,JE134777,2021-02-07 12:24:00.000000 UTC,007XX W 127TH ST,1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,STREET,true,false,523,5,34,53,15,1173392.0,1820640.0,2021,2021-02-14 03:47:33.000000 UTC,41.663249634,-87.641118884,"(41.663249634, -87.641118884)"
12302318,JE153473,2021-02-26 08:46:00.000000 UTC,120XX S WENTWORTH AVE,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,true,false,523,5,9,53,26,1177101.0,1825212.0,2021,2021-03-05 03:49:32.000000 UTC,41.675713377,-87.627408759,"(41.675713377, -87.627408759)"
12545670,JE450834,2021-11-19 07:17:00.000000 UTC,0000X E 112TH ST,0320,ROBBERY,STRONG ARM - NO WEAPON,BANK,true,true,531,5,9,49,03,1178661.0,1830718.0,2021,2021-12-03 03:49:08.000000 UTC,41.690787443,-87.621532348,"(41.690787443, -87.621532348)"
12373324,JE239784,2021-05-23 10:41:00.000000 UTC,112XX S MICHIGAN AVE,5110,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,true,false,531,5,9,49,26,1178803.0,1830500.0,2021,2021-05-30 05:03:31.000000 UTC,41.690185998,-87.621019079,"(41.690185998, -87.621019079)"
12625164,JF152653,2021-01-01 12:00:00.000000 UTC,003XX W HUBBARD ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,true,false,1831,18,42,8,17,,,2021,2022-06-27 04:47:12.000000 UTC,,,
12297580,JE147672,2021-02-21 08:25:00.000000 UTC,006XX N STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL / MOTEL,true,false,1832,18,42,8,11,1176262.0,1904268.0,2021,2021-02-28 03:48:02.000000 UTC,41.8926701,-87.628106353,"(41.8926701, -87.628106353)"
12552846,JE459614,2021-11-28 07:06:00.000000 UTC,001XX E ONTARIO ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,RESTAURANT,true,false,1834,18,42,8,11,1177137.0,1904514.0,2021,2021-12-05 03:48:33.000000 UTC,41.893325357,-87.624885406,"(41.893325357, -87.624885406)"
